Kingdom,Phylum,Class,Order,Family,Genus,Aerotolerance,Aerotolerance_cat,Reference,Comments,Citation_link
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Chung et al., 2015",NA,https://link.springer.com/article/10.1007/s10482-015-0528-x
Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Allobacillus,NA,unknown,not in Bergey's,NA,NA
NA,NA,NA,NA,NA,NA,OAN/A/FAN,mixed,Bergey's manual,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,A/FA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Falsibacillus, ,unknown,"Shi et al., 2019; Zhou et al., 2009",NA,https://pubmed.ncbi.nlm.nih.gov/30839250/; https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.014316-0
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Microaerobacter, ,unknown,not in Bergey's,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Natronobacillus, ,unknown,not in Bergey's,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Other, ,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,AN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales RF16 group,Other,AN/FAN,aerotolerant,Bergey's Manual,Based on Bacteroidales RF16 group,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Urios et al., 2006",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64285-0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter, ,unknown,not in Bergey's,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Other, ,unknown,NA,NA,NA
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,A,aerotolerant,Bergey's Manual,NA,NA
,,,,Bdellovibrionaceae,OM27 clade,NA,unknown,NA,Have not looked from beyond Bergey's,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,A,aerotolerant,Bergey's Manual,Based on Beijerinckiaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,Based on Beijerinckiaceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,A,aerotolerant,Bergey's Manual,Based on Methylobacterium,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,A,aerotolerant,Kanso & Patel 2003,Not in Bergey's,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Other,A,aerotolerant,Bergey's Manual,Based on Beijerinckiaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,Based on Beijerinckiaceae,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus, ,unknown,"Kulichevskaya et al., 2014",NA,https://pubmed.ncbi.nlm.nih.gov/24812364/
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,AN/OAN,mixed,Bergey's Manual,"From Bergeys: ""Anaerobic; some species can tolerate O2, but only in the presence of CO2 and the more recently described species, such as Bifidobacterium psychraerophilum, Bifidobacterium scardovii, and Bifidobacterium tsurumiense, can grow under aerobic conditions (Okamoto et al., 2008).""",NA
,,,,Bifidobacteriaceae,Neoscardovia,NA,unknown,Not on Bergey's,Have not looked from beyond Bergey's,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,Based on Blastocatellaceae,NA
NA,NA,NA,NA,NA,NA,A/MA,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,"Mixed? ""consists of obligately anaerobic, aerotolerant spriochetes, which..""",unknown,Bergey's manual,NA,NA
Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,Bradymonadaceae,Bradymonas, ,unknown,"Wang et al., 2015",NA,https://pubmed.ncbi.nlm.nih.gov/25713043/
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Spelaeicoccus,A,aerotolerant,"Lee, 2013",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.050732-0
Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Budvicia,FAN,aerotolerant,Bergey's Manual,NA,NA
,,,,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,OA/FAN,aerotolerant,Bergey's Manual,Based on Burkholderiaceae,NA
NA,NA,NA,NA,NA,NA,OA/FAN,aerotolerant,Bergey's manual,Based on Burkholderiaceae,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,OAN,nonaerotolerant,"Trachsel et al., 2018",Not in Bergey's,NA
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Other, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-008, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,OAN,nonaerotolerant,"Bergey's Manual, Baron, 1996 (based on Class Clostridia)",Based on Clostridia,NA
Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter,OAN,nonaerotolerant,Bergey's Manual,NA,NA
,,,,Caloramatoraceae,Fonticella,OAN,nonaerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Candidatus Hepatincola,Other, ,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,A/FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,MA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Iino et al., 2009",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.003293-0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Catellicoccaceae,Catellicoccus, ,unknown,"Lawson et al., 2006",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63874-0
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Liu et al., 2005",NA,Asticcacaulis
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Oerskovia,A/FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Paraoerskovia,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Pseudactinotalea, ,unknown,not in Bergey's,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Hamada et al., 2012",NA,https://link.springer.com/article/10.1007/s10482-012-9742-y
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Du et al., 2009",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.001313-0
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Guo et al., 2016",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000925
NA,NA,NA,NA,NA,NA,A/FAN,aerotolerant,"Madhaiyan et al., 2015",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.069377-0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,A/FAN,aerotolerant,based on Chitinophagaceae fam nov from Bergey's Manual,Based on Chitinophagaceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Cao et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002316
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Lee et al., 2016",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001207
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Liu et al., 2018",NA,https://link.springer.com/article/10.1007/s10482-018-1156-z
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Haoranjiania,A/FAN,aerotolerant,Bergey's Manual,NA,NA
,,,,Chitinophagaceae,Niabella,A/FAN,aerotolerant,Bergey's Manual,Based on Chitinophagaceae,NA
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Other,A/FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A/FAN,aerotolerant,"Kim et al., 2014",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.061945-0
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Dahal et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002452
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Qu et al., 2008",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65514-0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,A/FAN,aerotolerant,Bergey's Manual (based on Chitinophagaceae),NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Zhang et al., 2013",NA,https://pubmed.ncbi.nlm.nih.gov/23645023/
Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenella,OAN,nonaerotolerant,"Morotomi et al., 2012",NA,NA
Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,OAN,nonaerotolerant,"Morotomi et al., 2012",NA,NA
Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Other,OAN,nonaerotolerant,"Morotomi et al., 2012",NA,NA
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Aliterella, ,unknown,not in Bergey's,NA,NA
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's manual,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,OAN,nonaerotolerant,Schnupf et al. 2015,Not in Bergey's,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Clostridium sensu stricto 12,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Clostridium sensu stricto 13,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Clostridium sensu stricto 15,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Clostridium sensu stricto 18,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 5,OAN,nonaerotolerant,Bergey's Manual based on Clostridiaceae,Based on Clostridiaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 6,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 7,OAN,nonaerotolerant,Bergey's Manual based on Clostridiaceae,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Clostridium sensu stricto 9,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Hathewaya,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Other,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
,,,,Clostridiaceae,Proteiniclasticum,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's Manual,Based on Clostridiaceae,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Yamano et al., 2023",NA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0286693
NA,NA,NA,NA,NA,NA,MA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Dahal et al., 2020",NA,https://link.springer.com/article/10.1007/s00203-020-02110-8
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,A/FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,FA,aerotolerant,"Nakatsu et al., 2006",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63524-0
